,ID,Name,Sex,Height,Weight,Team,Year,Sport
1172,653,Sharon Evelin Acevedo Tangarife,F,170.0,61.0,Colombia,2016,Rugby Sevens
1178,658,Jaouad Achab,M,175.0,64.0,Belgium,2016,Taekwondo
1180,660,Karem Faride Achach Ramrez,F,169.0,60.0,Mexico,2016,Synchronized Swimming
1182,662,Loreto Achaerandio Snchez-Marn,F,164.0,50.0,Spain,2012,Rhythmic Gymnastics
1185,663,Sharath Kamal Achanta,M,186.0,85.0,India,2016,Table Tennis
1186,664,Kieron Robert Achara,M,208.0,110.0,Great Britain,2012,Basketball
1190,668,Gemma Acheampong,F,163.0,54.0,Ghana,2016,Athletics
1193,671,Ghassan Achi,M,168.0,60.0,Lebanon,2010,Alpine Skiing
1206,679,Ioan Valeriu Achiriloaie,M,183.0,87.0,Romania,2014,Alpine Skiing
1211,681,Janet Achola,F,167.0,52.0,Uganda,2012,Athletics
1214,683,Natalie Chioma Achonwa,F,190.0,86.0,Canada,2012,Basketball
1215,683,Natalie Chioma Achonwa,F,190.0,86.0,Canada,2016,Basketball
1218,685,Dallal Merwa Achour,F,176.0,45.0,Algeria,2012,Volleyball
1221,687,Haykel Al-Achouri,M,184.0,84.0,Tunisia,2012,Wrestling
1227,690,Chantal Achterberg,F,172.0,72.0,Netherlands,2012,Rowing
1228,690,Chantal Achterberg,F,172.0,72.0,Netherlands,2016,Rowing
1266,710,Bryan Josu Acosta Ramos,M,175.0,74.0,Honduras,2016,Football
1275,715,Julio Csar Acosta Gonzlez,M,160.0,62.0,Chile,2016,Weightlifting
1281,719,Luz Mercedes Acosta Valdez,F,164.0,63.0,Mexico,2012,Weightlifting
1285,721,Mara Jos Acosta Acosta,F,172.0,69.0,Venezuela,2016,Wrestling
1291,726,Tanya Acosta,F,182.0,70.0,Argentina,2016,Volleyball
1311,736,Brigitte Acton (-Smith),F,168.0,63.0,Canada,2010,Alpine Skiing
1316,737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,188.0,66.0,United States,2012,Athletics
1318,738,Crox Ernesto Acua Rodrguez,M,192.0,89.0,Venezuela,2012,Swimming
1322,742,Roberto Acua,M,208.0,109.0,Argentina,2016,Basketball
1323,743,Arslanbek Aylow,M,177.0,75.0,Turkmenistan,2016,Boxing
1329,748,Mariko Adachi,F,162.0,51.0,Japan,2012,Triathlon
1331,750,Seiya Adachi,M,172.0,67.0,Japan,2016,Water Polo
1334,753,Yurie Adachi,F,156.0,51.0,Japan,2014,Ice Hockey
1343,760,Constantin Adam,M,202.0,105.0,Romania,2016,Rowing
1347,764,Idrissa Adam,M,178.0,79.0,Cameroon,2012,Athletics
1359,769,Leonie Adam,F,162.0,54.0,Germany,2016,Trampolining
1416,795,Tomasz Adamiec,M,171.0,69.5,Poland,2012,Judo
1421,799,Nafissatou Moussa Adamou,F,172.0,72.0,Niger,2012,Swimming
1442,804,Antoine Xavier Adams,M,180.0,79.0,Saint Kitts and Nevis,2012,Athletics
1445,804,Antoine Xavier Adams,M,180.0,79.0,Saint Kitts and Nevis,2016,Athletics
1455,811,Natalie Cammile Adams (-Brannan),F,173.0,65.0,United States,2012,Swimming
1456,811,Natalie Cammile Adams (-Brannan),F,173.0,65.0,United States,2016,Swimming
1479,823,Liam Adams,M,178.0,64.0,Australia,2016,Athletics
1483,824,Luke Kendall Adams,M,189.0,70.0,Australia,2012,Athletics
1486,826,Lyukman Rasakovich Adams,M,194.0,87.0,Russia,2012,Athletics
1487,827,Mareike Adams,F,174.0,73.0,Germany,2016,Rowing
1494,832,Nicola Virginia Adams,F,164.0,51.0,Great Britain,2012,Boxing
1495,832,Nicola Virginia Adams,F,164.0,51.0,Great Britain,2016,Boxing
1497,834,Paul Adams,M,185.0,98.0,Australia,2016,Shooting
1514,837,Rachael Alexis Adams,F,188.0,81.0,United States,2016,Volleyball
1519,840,"Victoria ""Vicki"" Adams",F,164.0,69.0,Great Britain,2014,Curling
1528,846,Valerie Kasanita Adams-Vili (-Price),F,193.0,120.0,New Zealand,2012,Athletics
1529,846,Valerie Kasanita Adams-Vili (-Price),F,193.0,120.0,New Zealand,2016,Athletics
1533,849,Filip Kamil Adamski,M,189.0,87.0,Germany,2012,Rowing
1552,864,Yasemin Adar,F,180.0,75.0,Turkey,2016,Wrestling
1557,867,"Christopher Thomas ""Chris"" Adcock",M,183.0,80.0,Great Britain,2012,Badminton
1558,867,"Christopher Thomas ""Chris"" Adcock",M,183.0,80.0,Great Britain,2016,Badminton
1594,888,Jangy McKinley Addy,M,188.0,88.0,Liberia,2012,Athletics
1614,894,James Adede,M,162.0,92.0,Kenya,2016,Weightlifting
1621,900,Oluwakemi 'Kemi' Adekoya,F,166.0,63.0,Bahrain,2016,Athletics
1624,902,Odunayo Folasade Adekuoroye,F,169.0,53.0,Nigeria,2016,Wrestling
1641,911,Antoine Adelisse,M,178.0,65.0,France,2014,Freestyle Skiing
1647,915,Abrar Osman Adem,M,168.0,58.0,Eritrea,2012,Athletics
1648,915,Abrar Osman Adem,M,168.0,58.0,Eritrea,2016,Athletics
1649,916,Biko Adema,M,177.0,85.0,Kenya,2016,Rugby Sevens
1667,924,Aminat Oluwafunmilayo Adeniyi,F,165.0,58.0,Nigeria,2016,Wrestling
1668,925,Adenzia Aparecida Ferreira da Silva,F,187.0,65.0,Brazil,2012,Volleyball
1669,925,Adenzia Aparecida Ferreira da Silva,F,187.0,65.0,Brazil,2016,Volleyball
1673,927,Margaret Adetutu Adeoye,F,162.0,65.0,Great Britain,2012,Athletics
1695,942,Moriam Seun Adigun,F,153.0,52.0,Nigeria,2012,Athletics
1697,944,Haydy Morsy Adil,F,168.0,58.0,Egypt,2016,Modern Pentathlon
1715,954,Adiyasambuu Tsolmon,F,165.0,65.0,Mongolia,2016,Judo
1720,956,"Richard ""Richy""  Adjei",M,190.0,110.0,Germany-2,2010,Bobsleigh
1724,959,Christian Donfack Adjoufack,M,175.0,80.0,Cameroon,2012,Boxing
1726,961,"Bradley Don ""Brad"" Adkins",M,188.0,80.0,United States,2016,Athletics
1757,976,Jonna Eva-Maj Adlerteg,F,153.0,38.0,Sweden,2012,Gymnastics
1774,980,"Rebecca ""Becky"" Adlington",F,179.0,70.0,Great Britain,2012,Swimming
1820,1004,Aurimas Adomaviius,M,204.0,100.0,Lithuania,2016,Rowing
1844,1017,Nathan Ghar-Jun Adrian,M,198.0,100.0,United States,2012,Swimming
1847,1017,Nathan Ghar-Jun Adrian,M,198.0,100.0,United States,2016,Swimming
1851,1018,Vera Adrian,F,168.0,57.0,Namibia,2016,Cycling
1866,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,170.0,65.0,Brazil,2012,Basketball
1867,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,170.0,65.0,Brazil,2016,Basketball
1886,1035,Erkin Adylbek uulu,M,190.0,80.0,Kyrgyzstan,2016,Boxing
1907,1052,Jasper Aerents,M,191.0,86.0,Belgium,2012,Swimming
1909,1052,Jasper Aerents,M,191.0,86.0,Belgium,2016,Swimming
1911,1053,Luca Aerni,M,177.0,80.0,Switzerland,2014,Alpine Skiing
1915,1055,Katrien Aerts,F,162.0,51.0,Belgium,2014,Freestyle Skiing
1917,1057,Sara Aerts,F,182.0,64.0,Belgium,2012,Athletics
1934,1068,Brian O'Neill Afanador Prez,M,175.0,68.0,Puerto Rico,2016,Table Tennis
1942,1071,Kseniya Dmitriyevna Afanasyeva,F,158.0,48.0,Russia,2012,Gymnastics
1947,1074,Khairulnizam Mohd Afendy,M,182.0,70.0,Malaysia,2012,Sailing
1948,1074,Khairulnizam Mohd Afendy,M,182.0,70.0,Malaysia,2016,Sailing
1954,1078,Franois Jacques Affolter,M,186.0,74.0,Switzerland,2012,Football
1957,1081,Alessia Afi Dipol,F,168.0,58.0,Togo,2014,Alpine Skiing
1959,1082,Ahmed Afifi,M,194.0,92.0,Egypt,2016,Volleyball
1964,1085,Maksim Sergeyevich Afinogenov,M,183.0,88.0,Russia,2010,Ice Hockey
1966,1087,Evelina Afoa,F,162.0,60.0,Samoa,2016,Swimming
1974,1092,Paixo Afonso,M,176.0,80.0,Angola,2016,Sailing
1975,1093,Marina Anatolyevna Aframeyeva,F,171.0,62.0,Russia,2016,Equestrianism
1977,1095,Cecil Sebastian Afrika,M,175.0,75.0,South Africa,2016,Rugby Sevens
1984,1097,Georgios Afroudakis,M,194.0,103.0,Greece,2012,Water Polo
1987,1098,Khristos Afroudakis,M,188.0,88.0,Greece,2012,Water Polo
1988,1098,Khristos Afroudakis,M,188.0,88.0,Greece,2016,Water Polo
2002,1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,193.0,104.0,South Africa,2016,Rugby Sevens
2003,1108,Drago Agache,M,175.0,75.0,Romania,2012,Swimming
2014,1112,Alphonsine Agahozo,F,160.0,50.0,Rwanda,2012,Swimming
2018,1114,Luca Agamennoni,M,187.0,93.0,Italy,2012,Rowing
2019,1114,Luca Agamennoni,M,187.0,93.0,Italy,2016,Rowing
2044,1131,Clarisse Agbegnenou,F,164.0,66.0,France,2016,Judo
2088,1162,Levon Aghasyan,M,193.0,75.0,Armenia,2016,Athletics
2100,1169,Marilyn Agliotti,F,172.0,58.0,Netherlands,2012,Hockey
2109,1173,Yannick Agnel,M,202.0,90.0,France,2012,Swimming
2114,1173,Yannick Agnel,M,202.0,90.0,France,2016,Swimming
2127,1181,Meghan Christina Agosta (-Marciano),F,168.0,67.0,Canada,2010,Ice Hockey
2128,1181,Meghan Christina Agosta (-Marciano),F,168.0,67.0,Canada,2014,Ice Hockey
2139,1188,"Benjamin Alexandro ""Ben"" Agosto",M,178.0,75.0,United States-2,2010,Figure Skating
2152,1195,Salvador Jos Milhazes Agra,M,168.0,70.0,Portugal,2016,Football
2153,1196,Anna Agrafioti,F,178.0,76.0,Greece,2012,Sailing
2157,1200,Debora Agreiter,F,166.0,52.0,Italy,2014,Cross Country Skiing
2160,1202,Ulrika Maria gren,F,176.0,74.0,Sweden,2012,Handball
2163,1203,Renzo Pasquale Zeglio Agresta,M,181.0,76.0,Brazil,2012,Fencing
2164,1203,Renzo Pasquale Zeglio Agresta,M,181.0,76.0,Brazil,2016,Fencing
2175,1213,Norisbeth Isais Agudo Gonzlez,F,163.0,55.0,Venezuela,2016,Beach Volleyball
2212,1233,Alberto Martn Aguilar Surez,M,194.0,80.0,Venezuela,2012,Athletics
2214,1234,Alessandra Aguilar Morn,F,165.0,50.0,Spain,2012,Athletics
2215,1234,Alessandra Aguilar Morn,F,165.0,50.0,Spain,2016,Athletics
2245,1242,Evelis Jazmin Aguilar Torres,F,173.0,64.0,Colombia,2016,Athletics
2246,1243,Felipe Aguilar Mendoza,M,191.0,72.0,Colombia,2016,Football
2247,1244,Felipe Aguilar Schler,M,170.0,72.0,Chile,2016,Golf
2253,1247,Iaki Aguilar Vicente,M,189.0,82.0,Spain,2012,Water Polo
2254,1247,Iaki Aguilar Vicente,M,189.0,82.0,Spain,2016,Water Polo
2263,1254,Macarena Aguilar Daz,F,170.0,67.0,Spain,2012,Handball
2264,1254,Macarena Aguilar Daz,F,170.0,67.0,Spain,2016,Handball
2279,1262,Sandra Aguilar Navarro,F,167.0,50.0,Spain,2012,Rhythmic Gymnastics
2280,1262,Sandra Aguilar Navarro,F,167.0,50.0,Spain,2016,Rhythmic Gymnastics
2283,1265,Yulenmis Aguilar Martnez,F,165.0,66.0,Cuba,2016,Athletics
2289,1271,Tomas Alonso Aguilera Armendariz,M,202.0,95.0,Mexico,2016,Volleyball
2293,1274,Julen Aguinagalde Akizu,M,196.0,113.0,Spain,2012,Handball
2297,1277,Carolina Aguirre Giraldo,F,160.0,59.0,Colombia,2016,Archery
2301,1279,rick Germain Aguirre Tafolla,M,170.0,60.0,Mexico,2016,Football
2303,1281,Gabriela Aguirre,F,164.0,58.0,Argentina,2016,Hockey
2306,1283,Jeinkler Ernesto Aguirre Manso,M,165.0,57.0,Cuba,2012,Diving
2318,1290,Marcelo Vctor Aguirre,M,174.0,66.0,Paraguay,2012,Table Tennis
2319,1290,Marcelo Vctor Aguirre,M,174.0,66.0,Paraguay,2016,Table Tennis
2327,1297,Matas Aguirregaray Guruceaga,M,183.0,78.0,Uruguay,2012,Football
2329,1299,Mikel Aguirrezabalaga Garca,M,196.0,92.0,Spain,2012,Handball
2331,1301,Sri Wahyuni Agustiani,F,147.0,47.0,Indonesia,2016,Weightlifting
2356,1316,Feta Ahamada,F,160.0,50.0,Comoros,2012,Athletics
2361,1320,Kelsie Ahbe,F,170.0,63.0,Canada,2016,Athletics
2415,1354,Johanna Maria Helne Ahlm,F,175.0,69.0,Sweden,2012,Handball
2426,1356,Christian Ahlmann,M,189.0,80.0,Germany,2012,Equestrianism
2428,1356,Christian Ahlmann,M,189.0,80.0,Germany,2016,Equestrianism
2449,1372,Mohamed Ahmad Ali Gharib Juma,M,178.0,73.0,United Arab Emirates,2012,Football
2452,1374,Tontowi Ahmad,M,179.0,72.0,Indonesia,2012,Badminton
2453,1374,Tontowi Ahmad,M,179.0,72.0,Indonesia-1,2016,Badminton
2456,1375,Waseem Ahmad,M,165.0,64.0,Pakistan,2012,Hockey
2458,1377,Elaheh Ahmadi,F,160.0,62.0,Iran,2012,Shooting
2460,1377,Elaheh Ahmadi,F,160.0,62.0,Iran,2016,Shooting
2479,1390,Azneem Ahmed,M,169.0,65.0,Maldives,2012,Athletics
2481,1392,Esraa Ahmed El-Sayed,F,150.0,63.0,Egypt,2016,Weightlifting
2483,1394,Ghofran Ahmed Zaki,M,192.0,68.0,Egypt,2016,Taekwondo
2497,1405,Mohammed Ahmed,M,182.0,56.0,Canada,2012,Athletics
2498,1405,Mohammed Ahmed,M,182.0,56.0,Canada,2016,Athletics
2508,1413,Samia Mohamed Hagrass Ahmed,F,170.0,57.0,Egypt,2016,Synchronized Swimming
2515,1417,Shehabeldin Ahmed Saad Ahmed Saad,M,174.0,73.0,Egypt,2012,Football
2561,1435,Janne Petteri Ahonen,M,184.0,66.0,Finland,2010,Ski Jumping
2563,1435,Janne Petteri Ahonen,M,184.0,66.0,Finland,2014,Ski Jumping
2569,1438,Odile Ahouanwanou,F,178.0,71.0,Benin,2012,Athletics
2570,1439,Murielle Ahour,F,165.0,58.0,Cote d'Ivoire,2012,Athletics
2572,1439,Murielle Ahour,F,165.0,58.0,Cote d'Ivoire,2016,Athletics
2581,1445,Gaby Diana Ahrens,F,169.0,60.0,Namibia,2012,Shooting
2582,1445,Gaby Diana Ahrens,F,169.0,60.0,Namibia,2016,Shooting
2590,1451,Mohammad Ahsan,M,173.0,72.0,Indonesia,2012,Badminton
2591,1451,Mohammad Ahsan,M,173.0,72.0,Indonesia,2016,Badminton
2593,1453,Nicole Ahsinger,F,163.0,58.0,United States,2016,Trampolining
2604,1460,Johannes Ahun,M,187.0,76.0,Estonia,2012,Sailing
2606,1462,Michelle-Lee Raquel Ahye,F,160.0,64.0,Trinidad and Tobago,2012,Athletics
2608,1462,Michelle-Lee Raquel Ahye,F,160.0,64.0,Trinidad and Tobago,2016,Athletics
2612,1464,Ai Yanhan,F,168.0,54.0,China,2016,Swimming
2614,1465,Jrmy Aicardi,M,178.0,83.0,France,2016,Rugby Sevens
2615,1466,Matteo Aicardi,M,192.0,102.0,Italy,2012,Water Polo
